Country Name,Country Code,Series Name,Employment in agriculture (% of total employment) ,"Agriculture, forestry, and fishing, value added (% of GDP)",Agricultural land (sq. km)
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),46.58782301,33.59761887,383130
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),35.640848,18.35812525,11363.3
Algeria,DZA,Employment in agriculture (% of total employment) (modeled ILO estimate),10.03309842,11.23340263,413160.71
American Samoa,ASM,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,29
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.53361793,187.562
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),56.70750627,11.48634538,458970
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment) (modeled ILO estimate),..,2.082017906,90
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),7.333607565,7.306308855,1179577.597
Armenia,ARM,Employment in agriculture (% of total employment) (modeled ILO estimate),53.10091772,11.34354842,16748.2
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,20
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),2.494832643,2.300252621,3635190
Austria,AUT,Employment in agriculture (% of total employment) (modeled ILO estimate),3.734824358,1.218629132,25974.594
Azerbaijan,AZE,Employment in agriculture (% of total employment) (modeled ILO estimate),36.28280975,5.725983657,47806
"Bahamas, The",BHS,Employment in agriculture (% of total employment) (modeled ILO estimate),3.121505777,0.481137137,130
Bahrain,BHR,Employment in agriculture (% of total employment) (modeled ILO estimate),0.925946232,0.279204524,81
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),37.54564038,11.63285843,100680
Barbados,BRB,Employment in agriculture (% of total employment) (modeled ILO estimate),2.800762365,1.908407134,100
Belarus,BLR,Employment in agriculture (% of total employment) (modeled ILO estimate),10.90720643,6.706844792,81740
Belgium,BEL,Employment in agriculture (% of total employment) (modeled ILO estimate),0.935983611,0.641438472,13656.7
Belize,BLZ,Employment in agriculture (% of total employment) (modeled ILO estimate),17.22256369,7.903317617,1820
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),29.05929399,28.52895061,39500
Bermuda,BMU,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.291123152,3
Bhutan,BTN,Employment in agriculture (% of total employment) (modeled ILO estimate),49.85903291,15.79477904,5130
Bolivia,BOL,Employment in agriculture (% of total employment) (modeled ILO estimate),27.64740962,12.92292331,381193.672
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment) (modeled ILO estimate),13.82545369,5.019317881,22630
Botswana,BWA,Employment in agriculture (% of total employment) (modeled ILO estimate),17.59345271,1.788520019,258620
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),9.495608491,6.558762612,2393695.61
British Virgin Islands,VGB,Employment in agriculture (% of total employment) (modeled ILO estimate),..,..,70
Brunei Darussalam,BRN,Employment in agriculture (% of total employment) (modeled ILO estimate),1.406603261,1.256290223,134
Bulgaria,BGR,Employment in agriculture (% of total employment) (modeled ILO estimate),6.291864964,4.368048975,50465.972
Burkina Faso,BFA,Employment in agriculture (% of total employment) (modeled ILO estimate),74.58013935,17.29001582,127400
Burundi,BDI,Employment in agriculture (% of total employment) (modeled ILO estimate),85.31313419,28.66022,21030
Cabo Verde,CPV,Employment in agriculture (% of total employment) (modeled ILO estimate),10.53783142,5.971474059,790
Cambodia,KHM,Employment in agriculture (% of total employment) (modeled ILO estimate),37.13157806,22.84750006,60991.397
Cameroon,CMR,Employment in agriculture (% of total employment) (modeled ILO estimate),42.82221247,16.96610476,97500
Canada,CAN,Employment in agriculture (% of total employment) (modeled ILO estimate),1.337709799,..,569910
Cayman Islands,CYM,Employment in agriculture (% of total employment) (modeled ILO estimate),..,0.450199847,27
