Country,Year,Average_Co2_Emission,Average_Land_Surface_Temperature,Standardised_Precipitation_Evapotranspiration_Index,Sum_Number_Extreme_Events
Argentina,2015,4.30191381,24.375263,1.01710754,131
Argentina,2016,4.20181587,23.7522927,0.89874574,117
Argentina,2017,4.07011169,24.375667,0.35514583,140
Argentina,2018,3.97565074,24.8753089,-0.14701983,120
Argentina,2019,3.74202981,24.8761522,-0.01650633,180
Argentina,2020,3.40561754,25.8744293,-1.8084419,131
Australia,2015,16.19845822,35.1250956,-0.6803306,147
Australia,2016,16.32033061,33.8744756,0.29638214,156
Australia,2017,16.1491503,34.6252429,-0.5598427,70
Australia,2018,15.86571352,35.3757631,-1.0918129,115
Australia,2019,15.59904536,36.1254728,-2.4750087,162
Australia,2020,14.77613691,34.8741536,-0.1236132,151
Brazil,2015,2.36536062,29.311436,-2.0517629,147
Brazil,2016,2.16125985,29.1866051,-2.0318116,160
Brazil,2017,2.18548662,29.0611023,-1.9439845,77
Brazil,2018,2.06426148,28.6857977,-1.3753569,148
Brazil,2019,2.05077013,29.1868937,-1.5989453,140
Brazil,2020,1.94252336,29.0605651,-1.7048255,102
Canada,2015,15.64990728,-3.2512013,-0.9009498,107
Canada,2016,15.42182253,-2.2509888,0.09348287,109
Canada,2017,15.54719472,-2.7500807,-0.3494679,107
Canada,2018,15.63665416,-3.7452471,-0.0120206,147
Canada,2019,15.05274694,-3.2511522,0.38421964,144
Canada,2020,13.59937492,-4.2487849,0.42064007,127
China,2015,7.14513154,19.3752845,0.34740252,152
China,2016,7.10547994,19.2540353,1.43548498,187
China,2017,7.22616015,19.3752989,-0.7753334,163
China,2018,7.53319313,18.8748757,0.12827554,137
China,2019,7.64543579,19.1246366,-0.874803,180
China,2020,7.75613791,18.7517841,0.47244665,177
France,2015,4.67593509,17.8757438,-1.7258529,110
France,2016,4.70347567,17.3742626,-0.7027807,211
France,2017,4.74791693,17.6254302,-1.4701853,135
France,2018,4.57051743,18.8742424,-0.8451392,109
France,2019,4.46016495,18.3745837,-1.094466,113
France,2020,3.95368245,18.6245956,-1.2705878,166
India,2015,1.63132349,32.7485085,-0.1396085,79
India,2016,1.63991402,33.7488876,-0.2874251,121
India,2017,1.70492672,33.3755332,0.17599964,120
India,2018,1.7955953,32.7504196,-1.1684074,107
India,2019,1.75253437,32.7497783,1.7549369,192
India,2020,1.57609323,31.8756492,1.0738669,104
Nigeria,2015,0.58559167,33.9368835,-1.5608836,196
Nigeria,2016,0.58737109,34.0620705,0.22464704,240
Nigeria,2017,0.56063822,33.9375734,-0.4484874,144
Nigeria,2018,0.57278321,33.8119449,0.38321958,148
Nigeria,2019,0.58800521,34.3127069,1.27281602,116
Nigeria,2020,0.53751018,34.3121679,0.52468929,134
RussianFederation,2015,11.0520055,-2.7531411,0.47084543,158
RussianFederation,2016,10.88742693,-2.3747347,-1.4080177,122
RussianFederation,2017,11.03519921,-3.2545706,1.4420566,140
RussianFederation,2018,11.49657125,-3.7549375,-1.0707089,136
RussianFederation,2019,11.79719417,-3.2548853,-0.1539733,181
RussianFederation,2020,11.23228807,-1.247285,-1.241107,120
UnitedStates,2015,15.56001544,17.7508194,1.48712206,245
UnitedStates,2016,15.14988272,18.2534342,-0.0905042,124
UnitedStates,2017,14.82324544,17.7549612,0.6300136,194
UnitedStates,2018,15.2225181,16.7533663,1.9018454,128
UnitedStates,2019,14.67338071,15.2526331,2.27465849,162
UnitedStates,2020,13.03282795,17.7557637,-0.245767,156
