Country_Name,Country_Code,Series_Name,Employment_agriculture(%_total_employment),Agriculture_forestry_fishing_value(%_GDP),Agricultural_land(sq_km),Continent
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),46.58782301,33.59761887,383130,Asia
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),35.640848,18.35812525,11363.3,Europe
Algeria,DZA,Employment in agriculture (% of total employment) (modeled ILO estimate),10.03309842,11.23340263,413160.71,Africa
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),56.70750627,11.48634538,458970,Africa
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),7.333607565,7.306308855,1179577.597,South America
Armenia,ARM,Employment in agriculture (% of total employment) (modeled ILO estimate),53.10091772,11.34354842,16748.2,Asia
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),2.494832643,2.300252621,3635190,Oceania
Austria,AUT,Employment in agriculture (% of total employment) (modeled ILO estimate),3.734824358,1.218629132,25974.594,Europe
Azerbaijan,AZE,Employment in agriculture (% of total employment) (modeled ILO estimate),36.28280975,5.725983657,47806,Asia
Bahrain,BHR,Employment in agriculture (% of total employment) (modeled ILO estimate),0.925946232,0.279204524,81,Asia
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),37.54564038,11.63285843,100680,Asia
Barbados,BRB,Employment in agriculture (% of total employment) (modeled ILO estimate),2.800762365,1.908407134,100,North America
Belarus,BLR,Employment in agriculture (% of total employment) (modeled ILO estimate),10.90720643,6.706844792,81740,Europe
Belgium,BEL,Employment in agriculture (% of total employment) (modeled ILO estimate),0.935983611,0.641438472,13656.7,Europe
Belize,BLZ,Employment in agriculture (% of total employment) (modeled ILO estimate),17.22256369,7.903317617,1820,North America
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),29.05929399,28.52895061,39500,Africa
Bhutan,BTN,Employment in agriculture (% of total employment) (modeled ILO estimate),49.85903291,15.79477904,5130,Asia
Bolivia,BOL,Employment in agriculture (% of total employment) (modeled ILO estimate),27.64740962,12.92292331,381193.672,South America
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment) (modeled ILO estimate),13.82545369,5.019317881,22630,Europe
Botswana,BWA,Employment in agriculture (% of total employment) (modeled ILO estimate),17.59345271,1.788520019,258620,Africa
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),9.495608491,6.558762612,2393695.61,South America
Bulgaria,BGR,Employment in agriculture (% of total employment) (modeled ILO estimate),6.291864964,4.368048975,50465.972,Europe
Burkina Faso,BFA,Employment in agriculture (% of total employment) (modeled ILO estimate),74.58013935,17.29001582,127400,Africa
Burundi,BDI,Employment in agriculture (% of total employment) (modeled ILO estimate),85.31313419,28.66022,21030,Africa
Cambodia,KHM,Employment in agriculture (% of total employment) (modeled ILO estimate),37.13157806,22.84750006,60991.397,Asia
Cameroon,CMR,Employment in agriculture (% of total employment) (modeled ILO estimate),42.82221247,16.96610476,97500,Africa
Central African Republic,CAF,Employment in agriculture (% of total employment) (modeled ILO estimate),71.20712851,35.75533,49100,Africa
Chad,TCD,Employment in agriculture (% of total employment) (modeled ILO estimate),69.54943868,25.30360768,503380,Africa
Channel Islands,CHI,Employment in agriculture (% of total employment) (modeled ILO estimate),2.372011749,0.882717225,85.7,Europe
Chile,CHL,Employment in agriculture (% of total employment) (modeled ILO estimate),6.548048682,3.503759086,105955.37,South America
China,CHN,Employment in agriculture (% of total employment) (modeled ILO estimate),23.16450492,7.241017469,5206950,Asia
Colombia,COL,Employment in agriculture (% of total employment) (modeled ILO estimate),15.92783128,7.770950686,427180,South America
Comoros,COM,Employment in agriculture (% of total employment) (modeled ILO estimate),35.21270556,35.51165241,1330,Africa
Costa Rica,CRI,Employment in agriculture (% of total employment) (modeled ILO estimate),15.20456937,4.366713259,18110,North America
Cote d'Ivoire,CIV,Employment in agriculture (% of total employment) (modeled ILO estimate),46.01820616,16.18055296,235000,Africa
Croatia,HRV,Employment in agriculture (% of total employment) (modeled ILO estimate),6.803417778,3.276747632,14760,Europe
Cuba,CUB,Employment in agriculture (% of total employment) (modeled ILO estimate),17.61235322,0.881940963,64010,North America
Cyprus,CYP,Employment in agriculture (% of total employment) (modeled ILO estimate),2.853184473,1.625008073,1231.349,Europe
Czechia,CZE,Employment in agriculture (% of total employment) (modeled ILO estimate),2.547561294,1.845362946,35297.97,Europe
Denmark,DNK,Employment in agriculture (% of total employment) (modeled ILO estimate),2.039455175,1.088994751,26180,Europe
Djibouti,DJI,Employment in agriculture (% of total employment) (modeled ILO estimate),1.209346895,1.839328951,17039,Africa
Dominican Republic,DOM,Employment in agriculture (% of total employment) (modeled ILO estimate),8.008813239,5.665782146,24290,North America
Ecuador,ECU,Employment in agriculture (% of total employment) (modeled ILO estimate),32.17830744,7.99784979,54700,South America
El Salvador,SLV,Employment in agriculture (% of total employment) (modeled ILO estimate),14.87230748,4.812255149,11957,North America
Equatorial Guinea,GNQ,Employment in agriculture (% of total employment) (modeled ILO estimate),55.98621949,2.876612413,1049.2,Africa
Estonia,EST,Employment in agriculture (% of total employment) (modeled ILO estimate),2.684239622,1.969940228,9870,Europe
Eswatini,SWZ,Employment in agriculture (% of total employment) (modeled ILO estimate),13.64908533,8.100368351,11950,Africa
Ethiopia,ETH,Employment in agriculture (% of total employment) (modeled ILO estimate),63.46600856,37.57911569,385950,Africa
Fiji,FJI,Employment in agriculture (% of total employment) (modeled ILO estimate),29.40281662,15.27648106,3116,Oceania
Finland,FIN,Employment in agriculture (% of total employment) (modeled ILO estimate),4.10821147,2.43672805,22680,Europe
France,FRA,Employment in agriculture (% of total employment) (modeled ILO estimate),2.49128585,1.617229883,285537.54,Europe
Gabon,GAB,Employment in agriculture (% of total employment) (modeled ILO estimate),29.92092971,6.016489337,21532.36,Africa
Georgia,GEO,Employment in agriculture (% of total employment) (modeled ILO estimate),40.72773503,7.22731737,23799,Asia
Germany,DEU,Employment in agriculture (% of total employment) (modeled ILO estimate),1.250585991,0.711937967,165910,Europe
Ghana,GHA,Employment in agriculture (% of total employment) (modeled ILO estimate),40.34350664,19.65747352,126037.4,Africa
Greece,GRC,Employment in agriculture (% of total employment) (modeled ILO estimate),11.3577248,3.67679024,58671.88,Europe
Guatemala,GTM,Employment in agriculture (% of total employment) (modeled ILO estimate),29.17459743,9.298996817,46120,North America
Guinea,GIN,Employment in agriculture (% of total employment) (modeled ILO estimate),60.87983121,27.31991763,146380,Africa
Guinea-Bissau,GNB,Employment in agriculture (% of total employment) (modeled ILO estimate),50.91199596,33.03259686,8151.1,Africa
Guyana,GUY,Employment in agriculture (% of total employment) (modeled ILO estimate),12.50493031,13.45519329,10430,South America
Haiti,HTI,Employment in agriculture (% of total employment) (modeled ILO estimate),46.02131237,20.68142887,17950,North America
