Country_Name,Country_Code,Series_Name,Series_Code,2015,2016,2017,2018,2019,2020
Argentina,ARG,Land Surface Temperature,EN.LND.LTMP.DC,24.375263,23.7522927,24.375667,24.8753089,24.8761522,25.8744293
Australia,AUS,Land Surface Temperature,EN.LND.LTMP.DC,35.1250956,33.8744756,34.6252429,35.3757631,36.1254728,34.8741536
Brazil,BRA,Land Surface Temperature,EN.LND.LTMP.DC,29.311436,29.1866051,29.0611023,28.6857977,29.1868937,29.0605651
Canada,CAN,Land Surface Temperature,EN.LND.LTMP.DC,-3.2512013,-2.2509888,-2.7500807,-3.7452471,-3.2511522,-4.2487849
China,CHN,Land Surface Temperature,EN.LND.LTMP.DC,19.3752845,19.2540353,19.3752989,18.8748757,19.1246366,18.7517841
France,FRA,Land Surface Temperature,EN.LND.LTMP.DC,17.8757438,17.3742626,17.6254302,18.8742424,18.3745837,18.6245956
India,IND,Land Surface Temperature,EN.LND.LTMP.DC,32.7485085,33.7488876,33.3755332,32.7504196,32.7497783,31.8756492
Nigeria,NGA,Land Surface Temperature,EN.LND.LTMP.DC,33.9368835,34.0620705,33.9375734,33.8119449,34.3127069,34.3121679
Russian Federation,RUS,Land Surface Temperature,EN.LND.LTMP.DC,-2.7531411,-2.3747347,-3.2545706,-3.7549375,-3.2548853,-1.247285
United States,USA,Land Surface Temperature,EN.LND.LTMP.DC,17.7508194,18.2534342,17.7549612,16.7533663,15.2526331,17.7557637
